AJWANI,NARESH,CCAOI,IN,30
AKINORI,MAEMURA,APNIC EC,JP,30
ALONE,CORNEY,TELINET INTERNET - TELIKOM PNG LIMITED,PG,30
ALSHIRAWI,FAHAD,RIPE NCC,BH,30
ANG,PENG HWA,NANYANG TECHNOLOGICAL UNIVERSITY,SG,30
APPOLLO,MIAH MOHAMMAD FARDOUS ZAHAN,SADIATEC LTD.,BD,30
AUSTEIN,ROB,INTERNET SYSTEMS CONSORTIUM,US,30
AWAL,MD. ABDUL,MANGO TELESERVICES LIMITED,BD,30
AWRANGZEB,SOHEL,BANGLADESH IPV6 FORUM,BD,30
AYUN,USMAN,DEVELOPERS PRIVATE LIMITED,PK,30
BALES,KURT,,AU,30
BAO,CONGXIAO,TSINGHUA UNIVERSITY,CN,30
BARTLETT,BEN,NEXT BYTE,AU,30
BERG,MARCEL,TEAM CYMRU,NL,30
BHABUTA,DENESH,CYBERSTRIDER,GB,30
BHAIJI,YUSUF,CISCO,AE,30
BLACK,DANIEL,OVEE PTY LTD,AU,30
BONNE,DAVID,JADE SOFTWARE CORPORATION LTD,NZ,30
BORG CARUANA,JANICE,MEDICARE AUSTRALIA,AU,30
BREEN,JULIAN,VOCUS,AU,30
BRUIJNZEELS,TIM,RIPE NCC,NL,30
BUATIA,IOTEBA,TELECOM SERVICES KIRIBATI LTD,KI,30
BURKOV,DMITRY,RIPE NCC,RU,30
CARTER,RICK,VOCUS,AU,30
CHALLAGONDA,RAVINDER RAO,GOLDENIT PTY LTD.,AU,30
CHALMERS,GREG,UUNET / VERIZON BUSINESS (AS703),AU,30
CHAN,ROLAND,TELSTRA,AU,30
CHANDRA MAHARJAN,SURAJ,IPLUS PVT LTD,NP,30
CHEAM,MOLLY,APIA,MY,30
CHEN,FENG,"GUANGXI SEEHU TECHNOLOGY CO.,LTD",CN,30
CHENG,CHE-HOO,THE CHINESE UNIVERSITY OF HONG KONG,HK,30
CHHARIA,RAJESH,ISPAI / NIXI / CJONLINE,IN,30
CHIN,JAKE,GOOGLE,US,30
CHIU,HEI YIN,PCCW GLOBAL,HK,30
CHOI,YUNMI,KRNIC OF KISA,KR,30
CHOWDHURY,ABU SYEED CHOWDHURY,GLOBAL ACCESS LIMITED,BD,30
CHU,YI,SPRINT,US,30
CIMA,ANDREA,RIPE NCC,NL,30
COBLEY,LAURA,RIPE NCC,NL,30
COLLA,ELLA,TELSTRA,AU,30
COLLETT,JOHN-MARTIN,ALUMINA NETWORKS,AU,30
CROFTS,PETER,,AU,30
CURRAN,JOHN,ARIN,US,30
CVS,SURI,SIFY TECHNOLOGIES LIMITED,IN,30
DANG,DUC HANH,VIETNAM INTERNET NETWORK INFORMATION CENTER,VN,30
DAO VIET,CHIEN,VNPT,VN,30
DE LA HAIJE,ANDREW,RIPE NCC,NL,30
DELONG,OWEN,HURRICANE ELECTRIC,US,30
DRANSE,MARK,RIPE NCC,NL,30
DUGGAL,PAVAN,CYBERLAW ASIA,IN,30
DUONG,MANH LAN,VDC/VNPT,VN,30
EARLS,JOHN,NEWLEAVES,AU,30
EDIRISINGHE,SUDHEERA,OPTUS,AU,30
EYRE,OLIVER,CIRRUS COMMUNICATIONS,AU,30
FARMER,DAVID,ARIN,US,30
FONG,IVAN,TELECOM FIJI LIMITED,FJ,30
FOO,ERNEST,QUEENSLAND UNIVERSITY OF TECHNOLOGY,AU,30
FUJISAKI,TOMOHIRO,NRO_ASO,JP,30
GAIRO,PATRICK,,PG,30
GAROA,RUDOLPH,CENPACNET INC.,NR,30
GERICH,ELISE,ICANN,US,30
GILBERT,PAMELA,"DEPARTMENT OF BROADBAND, COMMUNICATIONS & THE DIGITAL ECONOMY",AU,30
GOLDSTEIN,CECIL,TEAM CYMRU,AU,30
GREHAN,PAUL,ON THE NET,AU,30
GUPTA,DEEPAK,EURUS NETWORK SERVICES PVT. LTD.,IN,30
GUPTA,SATYA NARAIN,BT (INDIA) PVT LTD.,IN,30
GUPTA,SHAILESH,TATA COMMUNICATIONS LIMITED,IN,30
HAJI BRAHIM,DAYANG RAHIMAH,"MINISTRY OF EDUCATION, NEGARA BRUNEI DARUSSALAM",BN,30
HALL,BARRIE,TELSTRA,AU,30
HARMAN,RUPERT,TELECOM FIJI LIMITED,FJ,30
HEFFERNAN,WILLIAM,TELECOM NEW ZEALAND INTERNATIONAL,NZ,30
HENDERSON,MIKE,NZ DEFENCE FORCE,NZ,30
HIDES,MITCH,DATA TRAFFIC SERVICES PTY LTD,AU,30
HILL,ANTHONY,IPV6NOW,AU,30
HIRAI,NORISUKE,SOFTBANKBB CORP.,JP,30
HOLLIS,MATT,VOCUS COMMUNICATIONS,AU,30
HOUEHOU,ABILE ROMAIN,AFRICAN ICT CONSUMERS NETWORK,BJ,30
HUANG,KENNY,NRO_ASO,TW,30
HWANG,BRYAN,KRNIC OF KISA,KR,30
IDIKAH,NELSON PASCHAL ODINAKA,INSITUTE TUTELAGE ASIA PACIFIC,MY,30
JACOBSEN,OLE,CISCO - APIA,US,30
JAGER,MIKE,WEB DRIVE,NZ,30
JAIN,BRAJESH CHANDRA,SPECTRANET,IN,30
JERATH,SHASHI PARKASH,TULIP TELECOM LTD,IN,30
JIANG,SONG,CHINA TELECOM,CN,30
JINDIA,MILAN,TELSTRA,AU,30
KAMAU,JAMES,TELIKOM PNG LTD,PG,30
KEKE,LEO,CENPACNET INC,NR,30
KELLEHER,EMER,RED BEE,AU,30
KENT,STEPHEN,BBN TECHNOLOGIES,US,30
KIM,YOONJEONG,KRNIC OF KISA,KR,30
KIMURA,TAIJI,JPNIC,JP,30
KISHANTHAN,YOGENDRAN,SRI LANKA TELECOM PLC,LK,30
KITAMURA,YASUICHI,NATIONAL INSTITUTE OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,JP,30
KOYAMA,YUJI,,JP,30
KU,CHING-HENG,TWNIC,TW,30
KUDO,SHINGO,SOFTBANK TELECOM,JP,30
KUMAR,BIDYUT,POWERGRID CORP OF INDIA LTD,IN,30
KUO,HSI-CHEN,CHUNGHWA TELECOM DATA COMMUNICATION BUSINESS GROUP,TW,30
KUO,SHENG-WEI,TWNIC,TW,30
KWON,HYUN-JOON,APNIC EC,KR,30
LAMB,RICHARD,ICANN,US,30
LAURIO,RYAN,WI-TRIBE,PH,30
LEE,DAVID,"DEPARTMENT OF BROADBAND, COMMUNICATIONS & THE DIGITAL ECONOMY",AU,30
LEE,JI-YOUNG,KRNIC OF KISA,KR,30
LEE,YI,TAIWAN NETWORK INFORMATION CENTER,TW,30
LEE,LOUIE,NRO NUMBER COUNCIL,US,30
LEPINSKI,MATTHEW,BBN TECHNOLOGIES,US,30
LI,XING,CERNET,CN,30
LI,HAIJUN,CHINA MOBILE,CN,30
LI,ZHIQIANG,CNNIC,CN,30
LI,XIAODONG,CNNIC,CN,30
LIU,VICKY,QUEENSLAND UNIVERSITY OF TECHNOLOGY,AU,30
LORD,ANNE,INTERNET SOCIETY (ISOC),AU,30
LU,AI-CHIN,TWNIC,TW,30
LU,XIAOMING,CHINA TELECOM,CX,30
LUO,JIAOJUAN,"GUANGXI SEEHU TECHNOLOGY CO.,LTD",CN,30
MA,YAN,APNIC EC,CN,30
MAHANAMAHEWA,SUNERA,ETISALAT LANKA (PVT) LTD.,LK,30
MAILLOT,LAURENT,OFFRATEL LAGOON,NC,30
MAK,CHEUK WAH,0101 INTERNET INC,HK,30
MAMUD,VIVI ROHKININISSMAH,CURRICULUM DEVELOPMENT DEPARTMENT,BN,30
MAMUN,ASHRAFUL AL MAMUN,SADIATEC LTD.,MY,30
MANDERSON,TERRY,ICANN,AU,30
MANOA,SAKAIO,SOPAC SECRETARIAT,FJ,30
MARTIN,JONNY,PACKET CLEARING HOUSE,US,30
MATHUR,SANDEEP,TATA COMMUNICATIONS,IN,30
MATHUR,LALIT CHANDRA,DELDSL INTERNET PVT. LTD.,IN,30
MATSUZAKI,YOSHINOBU,IIJ,JP,30
MCENIERY,MARTIN,,AU,30
MILLER,CODY,OVEE,AU,30
MIZUKOSHI,ICHIRO,NIPPON TELEGRAPH AND TELEPHONE EAST CORPORATION,JP,30
MORGAN,BRUCE,AARNET,AU,30
