LIM,CHOON SAI,SGNIC,SINGAPORE,41
PUKETAPU,REUBEN,REUBENPUKETAPU,NEW ZEALAND,41
GERICH,ELISE,ICANN,UNITED STATES,41
LU,AI CHIN,TWNIC,TAIWAN,41
HUGHS,WILL,TELSTRA,UNITED STATES,41
NIKOLICH,PETAR,IX AUSTRALIA,AUSTRALIA,41
TOYAMA,KATSUYASU,JPNAP,JAPAN,41
PARRA,EDDIE,JUNIPER NETWORKS,UNITED STATES,41
LEWIS,EDWARD,ICANN,UNITED STATES,41
GLYNN,MICHAEL,SUPERLOOP,AUSTRALIA,41
SELINA XU,SELINA XU,BAIDU (HONG KONG) LIMITED,CHINA,41
LAMBERT,DAVID,BROCADE,AUSTRALIA,41
NG,CRAIG,APNIC,AUSTRALIA,41
MOORE,MATT,BROCADE COMMUNICATIONS,AUSTRALIA,41
DEAN,SALEEM,SPARK NEW ZEALAND,NEW ZEALAND,41
PATERSON,SIMON,TBD,NEW ZEALAND,41
LOTZ,RICHARD,AMAZON WEB SERVICES,UNITED STATES,41
LAU,KOK KHIANG,NOKIA,SINGAPORE,41
SHRESTHA,KABINDRA,PACKET CLEARING HOUSE,NEPAL,41
ROBLES,OSCAR,LACNIC,URUGUAY,41
YILDIZ,AYDIN,ECIX,GERMANY,41
OFFNER,CHRIS,TATA COMMUNICATIONS,AUSTRALIA,41
ALICI,ILKER,NOKIA,NEW ZEALAND,41
CHUA,TEE MONG,SINGAPORE TELECOMMUNICATION,SINGAPORE,41
CHAN,ALAN,HGC,HONG KONG,41
ANDERSEN,PAUL,ARIN,CANADA,41
ROWE,RICHARD,VEND,NEW ZEALAND,41
TAKANASHI,HITOSHI,AKAMAI TECHNOLOGIES,JAPAN,41
PONZIO,JULIE,NOKIA,NEW ZEALAND,41
CHEE HONG,ERIC SOO,DIGI TELECOMMUNICATIONS SDN BHD,MALAYSIA,41
KISSICK,DAMIAN,ACTRIX NETWORKS LIMITED,NEW ZEALAND,41
CHOY,TERRY,TELSTRA INTERNATIONAL,HONG KONG,41
YOSHIDA,TOMOYA,INTERNET MULTIFEED CO.,JAPAN,41
STEPHENS,LIAM,TELSTRA CORPORATION,AUSTRALIA,41
SHARPLES,DAVE,JUNIPER NETWORKS,NEW ZEALAND,41
MITCHELL,ROBERT MATTHEW CHARLES,APNIC,AUSTRALIA,41
HUSSIN,AMIR,DATASTREAM TECHNOLOGY SDN BHD,BRUNEI DARUSSALAM,41
GAO,RAY,PACKET DESIGN,SINGAPORE,41
GREEN,PARRISH,MEGAPORT,NEW ZEALAND,41
WONG,NICHOLAS,CHINA UNICOM GLOBAL,HONG KONG,41
